# # x, y, z, Ex, Ey, Ez
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.599584915999999885e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.618699744640990756e-02+1.418323003281082850e-01j), (2.470462592522366767e-03+1.542047815056863530e-03j), (2.765689671645805373e-03-1.368129838984047386e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.567270069212121225e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.361303295274517738e-02+1.390983088585792116e-01j), (2.470462592522412737e-03+1.542047815056891286e-03j), (3.018605647483094644e-03-1.383768544058081029e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.534955222424242392e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.561280657389612386e-02+1.329887587804174931e-01j), (7.872282827765517133e-03-3.078996705608724738e-03j), (-5.433745097609854469e-03-6.861718706784775829e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.502640375636363559e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.386734952476877281e-02+1.028465309459790089e-01j), (-1.322128020317166544e-02-1.611919639716917485e-02j), (-8.088121870634340863e-03-8.887566266798475195e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.470325528848484727e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.243566855000297344e-01+1.368742291273902789e-01j), (-1.990300756132471274e-02-5.866451705068062919e-03j), (-2.342042183502031014e-02+1.497564337144330175e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.438010682060605894e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.301768041314673441e-01+1.323636789244021228e-01j), (-1.990300756132469540e-02-5.866451705068032561e-03j), (-2.322721165403478921e-02+1.451838446608192182e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.405695835272727234e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.225861981835855291e-01+1.114534702285207568e-01j), (-4.636279231114048827e-02+2.887395072360637860e-02j), (-1.110058855959522757e-02-9.528446512865190732e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.373380988484848401e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.285331018920154722e-01+1.108400084019906667e-01j), (-2.218916779065775377e-02-1.206584637640312728e-02j), (-4.698826000261020069e-03-9.137557719147119603e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.341066141696969569e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.303857030913016801e-01+1.031592294327158404e-01j), (-2.218916779065776765e-02-1.206584637640309779e-02j), (-3.489414503347908203e-03-8.342259036787843043e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.308751294909090909e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.424000180608782917e-01+1.121019651483420865e-01j), (-3.195127178756536346e-02+5.032663728713334186e-03j), (-2.801850732055502155e-02+3.748742259526309517e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.276436448121212076e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.461026624520004591e-01+1.030119310147566275e-01j), (-3.195127178756536346e-02+5.032663728713323778e-03j), (-2.612685971238415394e-02+3.690139746210253230e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.244121601333333244e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.407828176572433809e-01+8.060024326765877212e-02j), (7.079005658688715744e-03+1.001481797777319625e-02j), (-9.339414896096525850e-03+3.796065430747243979e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.211806754545454584e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.438000103470808477e-01+6.823055083054842263e-02j), (7.079005658688730489e-03+1.001481797777318411e-02j), (-9.928217238093645092e-03+3.655319437759152468e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.179491907757575578e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.468172030369182868e-01+5.586085839343790660e-02j), (7.079005658688747836e-03+1.001481797777315635e-02j), (-1.051701958009075913e-02+3.514573444771058180e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.147177060969696918e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.498343957267556981e-01+4.349116595632753629e-02j), (7.079005658688747836e-03+1.001481797777314074e-02j), (-1.110582192208786102e-02+3.373827451782965281e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.114862214181818086e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.528515884165932204e-01+3.112147351921711741e-02j), (7.079005658688726152e-03+1.001481797777312686e-02j), (-1.169462426408496639e-02+3.233081458794871688e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.082547367393939253e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.558687811064306317e-01+1.875178108210666383e-02j), (7.079005658688736560e-03+1.001481797777311819e-02j), (-1.228342660608205961e-02+3.092335465806778094e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.050232520606060593e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.588859737962680985e-01+6.382088644996290056e-03j), (7.079005658688726152e-03+1.001481797777310431e-02j), (-1.287222894807916844e-02+2.951589472818685195e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.017917673818181760e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.619031664861055653e-01-5.987603792114143571e-03j), (7.079005658688723550e-03+1.001481797777308697e-02j), (-1.346103129007628942e-02+2.810843479830590907e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.856028270303029276e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.646582375948629551e-01-1.827278011244380662e-02j), (1.766055077292632419e-02-4.095583377422349486e-02j), (-1.314918349669194284e-02+2.512037019290766157e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.532879802424242682e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.647648867738507938e-01-3.659200213043911631e-02j), (1.766055077292630685e-02-4.095583377422365445e-02j), (-1.074477602671760658e-02+2.581592837274829938e-02j)
