# # x, y, z, Ex, Ey, Ez
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.599584915999999885e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.035336463632453907e-01+2.079602037225762867e-01j), (-6.099955273488733183e-03-5.543535287332356301e-03j), (1.674939813350125040e-02-3.437147410837987534e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.567270069212121225e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.065346927198367100e-01+1.968239403043391123e-01j), (-6.099955273488742724e-03-5.543535287332422221e-03j), (1.652934605964576781e-02-2.662105686683596817e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.534955222424242392e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.095357390764280847e-01+1.856876768861019100e-01j), (-6.099955273488773949e-03-5.543535287332493344e-03j), (1.630929398579026093e-02-1.887063962529174875e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.502640375636363559e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.125367854330194040e-01+1.745514134678646245e-01j), (-6.099955273488803439e-03-5.543535287332554927e-03j), (1.608924191193476447e-02-1.112022238374762908e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.470325528848484727e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.155378317896108065e-01+1.634151500496274223e-01j), (-6.099955273488807776e-03-5.543535287332619979e-03j), (1.586918983807928882e-02-3.369805142203686132e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.438010682060605894e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.185388781462021535e-01+1.522788866313901923e-01j), (-6.099955273488827726e-03-5.543535287332699776e-03j), (1.564913776422380970e-02+4.380612099340328372e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.405695835272727234e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.215399245027934172e-01+1.411426232131530734e-01j), (-6.099955273488844205e-03-5.543535287332757022e-03j), (1.542908569036831670e-02+1.213102934088433746e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.373380988484848401e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.245409708593847919e-01+1.300063597949158711e-01j), (-6.099955273488862420e-03-5.543535287332833350e-03j), (1.520903361651283064e-02+1.988144658242828149e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.341066141696969569e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.311696574678918092e-01+1.068441393449140048e-01j), (-4.591485990211774740e-03-1.209967614665372147e-03j), (2.245248726760152094e-03-3.672976101290286594e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.308751294909090909e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.331245975950442806e-01+9.657692141191186186e-02j), (-4.591485990211757393e-03-1.209967614665346126e-03j), (3.550323677396407390e-03-3.541126053827452907e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.276436448121212076e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.350795377221966964e-01+8.630970347890962180e-02j), (-4.591485990211755658e-03-1.209967614665281507e-03j), (4.855398628032640135e-03-3.409276006364619221e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.244121601333333244e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.370344778493491122e-01+7.604248554590740949e-02j), (-4.591485990211737443e-03-1.209967614665245078e-03j), (6.160473578668938799e-03-3.277425958901787617e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.211806754545454584e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.389894179765015558e-01+6.577526761290521107e-02j), (-4.591485990211730504e-03-1.209967614665201493e-03j), (7.465548529305195830e-03-3.145575911438954625e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.179491907757575578e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.409443581036539994e-01+5.550804967990294325e-02j), (-4.591485990211725300e-03-1.209967614665140344e-03j), (8.770623479941480616e-03-3.013725863976120939e-02j)
