# # Angle (deg), theta pol E-plane, phi pol E-plane, theta pol H-plane, phi pol H-plane
 (-1.800000000000000000e+02+0.000000000000000000e+00j), (-3.784333034903031821e-03+1.412714228190969229e-02j), (3.556772140309711721e-05+9.398054347663055224e-05j), (-3.556772140309694781e-05-9.398054347662960356e-05j), (-3.784333034903030520e-03+1.412714228190969055e-02j)
 (-1.780000000000000000e+02+0.000000000000000000e+00j), (-3.788556288798201714e-03+1.411156082994201311e-02j), (4.764176049248212562e-05+9.385725346411726813e-05j), (-2.310703389234638536e-05-1.045870867791294214e-04j), (-3.746656608809210628e-03+1.408404663584346753e-02j)
 (-1.760000000000000000e+02+0.000000000000000000e+00j), (-3.841159691803635451e-03+1.406843324459216421e-02j), (5.978473074710638247e-05+9.329260064072109353e-05j), (-9.844162248135683642e-06-1.139513558946061647e-04j), (-3.646765099384961361e-03+1.395711025058019722e-02j)
 (-1.740000000000000000e+02+0.000000000000000000e+00j), (-3.941742119707099083e-03+1.399809647147514692e-02j), (7.194979211061832021e-05+9.233414185684276070e-05j), (4.025350401099101586e-06-1.220527447856452558e-04j), (-3.485798626384576607e-03+1.374784809098030317e-02j)
 (-1.720000000000000000e+02+0.000000000000000000e+00j), (-4.089298875808495930e-03+1.390079347793595627e-02j), (8.408320294604378759e-05+9.102975061033021051e-05j), (1.829131573368184279e-05-1.288908238177831095e-04j), (-3.265479966760357917e-03+1.345874812673859659e-02j)
 (-1.700000000000000000e+02+0.000000000000000000e+00j), (-4.282224616403098975e-03+1.377666442996897458e-02j), (9.612424993479104702e-05+8.942662879513092061e-05j), (3.273225721635616276e-05-1.344840932639598233e-04j), (-2.988098322587030668e-03+1.309324300030502777e-02j)
 (-1.680000000000000000e+02+0.000000000000000000e+00j), (-4.518323516795582327e-03+1.362574112549555343e-02j), (1.080053580405532671e-04+8.757039068243348354e-05j), (4.711912327334101893e-05-1.388682959857666030e-04j), (-2.656488916484111076e-03+1.265567027278257858e-02j)
 (-1.660000000000000000e+02+0.000000000000000000e+00j), (-4.794826502220152914e-03+1.344794520412988942e-02j), (1.196523892785047885e-04+8.550422162243372939e-05j), (6.121932175676508239e-05-1.420943044971515856e-04j), (-2.274008546237797721e-03+1.215122161765015002e-02j)
 (-1.640000000000000000e+02+0.000000000000000000e+00j), (-5.108415232352528541e-03+1.324309056917607856e-02j), (1.309851405382794396e-04+8.326811117220669738e-05j), (7.480102547115746834e-05-1.442256171587984811e-04j), (-1.844507237568035994e-03+1.158588146997463833e-02j)
 (-1.620000000000000000e+02+0.000000000000000000e+00j), (-5.455252420304227030e-03+1.301089034675837613e-02j), (1.419180513255853212e-04+8.089815883802458502e-05j), (8.763768168599899138e-05-1.453355211634558869e-04j), (-1.372296142610647746e-03+1.096635577475975343e-02j)
